property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
586,1910,821988.95,M_243572_912616,Lynn,MA,Three-Family Residential,3,,,
587,1920,749171.27,M_243596_912563,Lynn,MA,Two-Family Residential,2,,,
588,1907,1433038.67,M_243572_912560,Lynn,MA,Apartments with Four to Eight Units,6,,,
589,1900,954143.65,M_243549_912590,Lynn,MA,Three-Family Residential,3,,,
590,1900,693790.06,M_243512_912555,Lynn,MA,Two-Family Residential,2,,,
591,1900,812375.69,M_243529_912539,Lynn,MA,Three-Family Residential,3,,,
592,1900,824740.33,M_243502_912525,Lynn,MA,Two-Family Residential,2,,,
593,1900,814088.40,M_243490_912518,Lynn,MA,Two-Family Residential,2,,,
594,1900,870939.23,M_243437_912539,Lynn,MA,Three-Family Residential,3,,,
595,1925,843701.66,M_243442_912525,Lynn,MA,Two-Family Residential,2,,,
596,1900,786828.73,M_243447_912501,Lynn,MA,Two-Family Residential,2,,,
597,1900,815138.12,M_243436_912490,Lynn,MA,Three-Family Residential,3,,,
598,1900,886519.34,M_243427_912485,Lynn,MA,Three-Family Residential,3,,,
599,1900,833149.17,M_243415_912483,Lynn,MA,Three-Family Residential,3,,,
600,1900,1022430.94,M_243404_912471,Lynn,MA,Three-Family Residential,3,,,
601,1915,859116.02,M_243397_912482,Lynn,MA,Three-Family Residential,3,,,
602,1915,932044.20,M_243404_912504,Lynn,MA,Three-Family Residential,3,,,
603,1893,842320.44,M_243396_912521,Lynn,MA,Three-Family Residential,3,,,
604,1910,948044.20,M_243449_912449,Lynn,MA,Two-Family Residential,2,,,
605,1910,759756.91,M_243468_912458,Lynn,MA,Two-Family Residential,2,,,
606,1910,811823.20,M_243588_912516,Lynn,MA,Three-Family Residential,3,,,
607,1910,886298.34,M_243610_912533,Lynn,MA,Three-Family Residential,3,,,
608,1910,836464.09,M_243671_912561,Lynn,MA,Three-Family Residential,3,,,
609,1920,724574.59,M_243685_912570,Lynn,MA,Two-Family Residential,2,,,
610,1925,806629.83,M_243689_912561,Lynn,MA,Three-Family Residential,3,,,
611,2019,1450276.24,M_243695_912552,Lynn,MA,Three-Family Residential,3,,,
612,1920,931270.72,M_243698_912506,Lynn,MA,Three-Family Residential,3,,,
613,1900,802895.03,M_243681_912499,Lynn,MA,Two-Family Residential,2,,,
614,1900,1020342.54,M_243658_912487,Lynn,MA,Two-Family Residential,2,,,
615,2020,1116795.58,M_243644_912480,Lynn,MA,Two-Family Residential,2,,,
616,1900,726939.23,M_243631_912475,Lynn,MA,Two-Family Residential,2,,,
617,1900,804574.59,M_243612_912467,Lynn,MA,Two-Family Residential,2,,,
618,1900,856497.24,M_243587_912455,Lynn,MA,Two-Family Residential,2,,,
619,1900,886850.83,M_243520_912421,Lynn,MA,Three-Family Residential,3,,,
620,1900,850718.23,M_243507_912415,Lynn,MA,Three-Family Residential,3,,,
621,1910,1083535.91,M_243493_912411,Lynn,MA,Three-Family Residential,3,,,
